transaction_id,amount,date
T1001,1000.0,2026-01-01
T1002,500.0,2026-01-01
T1004,980.0,2026-01-02
T1005,200.0,2026-01-03
T1006,300.0,2026-01-03
T1007,450.0,2026-01-05
T1008,999.99,2026-01-04
T1009,48000.0,2026-01-04
T1010,700.0,2026-01-05
T1011,250.5,2026-01-06
T1012,600.0,2026-01-06
T1012,600.0,2026-01-06
T2000,3233.19,2026-01-01
T2001,1299.97,2026-01-05
T2002,3415.83,2026-01-18
T2003,2167.42,2026-01-01
T2004,1240.04,2026-01-20
T2005,1074.3,2026-01-21
T2006,2155.65,2026-01-15
T2007,4062.18,2026-01-01
T2008,2170.81,2026-01-09
T2009,4790.34,2026-01-11
T2010,1949.17,2026-01-12
T2011,4054.93,2026-01-24
T2012,711.65,2026-01-13
T2013,1536.57,2026-01-21
T2014,4322.36,2026-01-19
T2015,440.82,2026-01-22
T2016,1500.54,2026-01-03
T2017,1962.62,2026-01-15
T2018,1887.68,2026-01-12
T2020,3084.74,2026-01-06
T2021,1299.57,2026-01-15
T2022,4948.66,2026-01-21
T2023,1160.37,2026-01-11
T2024,1213.72,2026-01-02
T2025,417.34,2026-01-19
T2026,3298.44,2026-01-13
T2027,800.07,2026-01-05
T2028,2850.7,2026-01-09
T2029,2199.33,2026-01-19
T2030,1174.67,2026-01-05
T2031,541.56,2026-01-02
T2032,883.91,2026-01-22
T2033,411.29,2026-01-13
T2035,156.26,2026-01-24
T2036,4435.46,2026-01-25
T2037,3240.71,2026-01-04
T2039,1379.96,2026-01-17
T2040,621.41,2026-01-21
T2041,3230.85,2026-01-20
T2042,1932.18,2026-01-06
T2045,4175.16,2026-01-10
T2046,1280.27,2026-01-19
T2048,716.23,2026-01-22
T2049,2794.04,2026-01-09
T2051,3480.35,2026-01-23
T2052,4976.23,2026-01-21
T2053,4508.11,2026-01-15
T2054,1201.02,2026-01-11
T2055,2814.22,2026-01-19
T2056,447.87,2026-01-21
T2057,427.91,2026-01-02
T2058,1266.22,2026-01-22
T2060,2416.09,2026-01-26
T2061,2094.59,2026-01-04
T2062,2212.15,2026-01-14
T2063,4332.8,2026-01-02
T2064,4922.41,2026-01-04
T2065,3662.53,2026-01-26
T2066,1032.02,2026-01-15
T2067,999.09,2026-01-15
T2068,4606.74,2026-01-15
T2070,4843.92,2026-01-25
T2071,2461.49,2026-01-07
T2072,906.72,2026-01-01
T2073,3941.95,2026-01-15
T2075,3620.2,2026-01-05
T2076,1166.73,2026-01-02
T2077,2756.76,2026-01-24
T2078,345.7,2026-01-16
T2079,4278.33,2026-01-06
T2080,2588.36,2026-01-28
T2081,3007.0,2026-01-22
T2082,4713.82,2026-01-19
T2083,3013.14,2026-01-20
T2084,3321.13,2026-01-19
T2085,4680.06,2026-01-07
T2086,1639.5,2026-01-09
T2087,3391.28,2026-01-10
