transaction_id,amount_bank,date_bank,amount_company,date_company,_merge,category
T1001,1000.0,2026-01-01,1000.0,2026-01-01,both,Perfect Match
T1002,500.0,2026-01-01,,,left_only,Missing in Company
T1003,,,750.0,2026-01-02,right_only,Missing in Bank
T1004,980.0,2026-01-02,1000.0,2026-01-02,both,Amount Mismatch
T1005,200.0,2026-01-03,1000.0,2026-01-03,both,Amount Mismatch
T1006,300.0,2026-01-03,300.0,2026-01-03,both,Duplicate
T1006,300.0,2026-01-03,300.0,2026-01-03,both,Duplicate
T1007,450.0,2026-01-05,450.0,2026-01-03,both,Perfect Match
T1008,999.99,2026-01-04,1000.0,2026-01-04,both,Amount Mismatch
T1009,48000.0,2026-01-04,50000.0,2026-01-04,both,Amount Mismatch
T1010,700.0,2026-01-05,1000.0,2026-01-05,both,Amount Mismatch
T1011,250.5,2026-01-06,250.45,2026-01-06,both,Amount Mismatch
T1012,600.0,2026-01-06,600.0,2026-01-06,both,Duplicate
T1012,600.0,2026-01-06,600.0,2026-01-06,both,Duplicate
T2000,3233.19,2026-01-01,3233.19,2026-01-01,both,Perfect Match
T2001,1299.97,2026-01-05,1299.97,2026-01-05,both,Perfect Match
T2002,3415.83,2026-01-18,3415.83,2026-01-18,both,Perfect Match
T2003,2167.42,2026-01-01,2167.42,2026-01-01,both,Perfect Match
T2004,1240.04,2026-01-20,1240.04,2026-01-20,both,Perfect Match
T2005,1074.3,2026-01-21,1074.3,2026-01-21,both,Perfect Match
T2006,2155.65,2026-01-15,2155.65,2026-01-15,both,Perfect Match
T2007,4062.18,2026-01-01,4066.21,2026-01-01,both,Amount Mismatch
T2008,2170.81,2026-01-09,2170.81,2026-01-09,both,Perfect Match
T2009,4790.34,2026-01-11,4790.34,2026-01-11,both,Perfect Match
T2010,1949.17,2026-01-12,1961.64,2026-01-12,both,Amount Mismatch
T2011,4054.93,2026-01-24,4054.93,2026-01-24,both,Perfect Match
T2012,711.65,2026-01-13,711.65,2026-01-13,both,Perfect Match
T2013,1536.57,2026-01-21,1536.57,2026-01-21,both,Perfect Match
T2014,4322.36,2026-01-19,4322.36,2026-01-19,both,Perfect Match
T2015,440.82,2026-01-22,440.82,2026-01-22,both,Perfect Match
T2016,1500.54,2026-01-03,1518.0,2026-01-03,both,Amount Mismatch
T2017,1962.62,2026-01-15,1962.62,2026-01-15,both,Perfect Match
T2018,1887.68,2026-01-12,1887.68,2026-01-12,both,Perfect Match
T2019,,,3383.86,2026-01-23,right_only,Missing in Bank
T2020,3084.74,2026-01-06,3084.74,2026-01-06,both,Perfect Match
T2021,1299.57,2026-01-15,1299.57,2026-01-15,both,Perfect Match
T2022,4948.66,2026-01-21,4948.66,2026-01-21,both,Perfect Match
T2023,1160.37,2026-01-11,1176.11,2026-01-11,both,Amount Mismatch
T2024,1213.72,2026-01-02,1222.34,2026-01-02,both,Amount Mismatch
T2025,417.34,2026-01-19,424.32,2026-01-19,both,Amount Mismatch
T2026,3298.44,2026-01-13,3311.65,2026-01-13,both,Amount Mismatch
T2027,800.07,2026-01-05,800.07,2026-01-05,both,Perfect Match
T2028,2850.7,2026-01-09,2850.7,2026-01-09,both,Perfect Match
T2029,2199.33,2026-01-19,2199.33,2026-01-19,both,Perfect Match
T2030,1174.67,2026-01-05,1174.67,2026-01-05,both,Perfect Match
T2031,541.56,2026-01-02,545.46,2026-01-02,both,Amount Mismatch
T2032,883.91,2026-01-22,883.91,2026-01-22,both,Perfect Match
T2033,411.29,2026-01-13,411.29,2026-01-13,both,Perfect Match
T2034,,,2393.44,2026-01-09,right_only,Missing in Bank
T2035,156.26,2026-01-24,156.26,2026-01-24,both,Perfect Match
T2036,4435.46,2026-01-25,4435.46,2026-01-25,both,Perfect Match
T2037,3240.71,2026-01-04,3240.71,2026-01-04,both,Perfect Match
T2038,,,874.97,2026-01-01,right_only,Missing in Bank
T2039,1379.96,2026-01-17,1390.61,2026-01-17,both,Amount Mismatch
T2040,621.41,2026-01-21,621.41,2026-01-21,both,Perfect Match
T2041,3230.85,2026-01-20,3230.85,2026-01-20,both,Perfect Match
T2042,1932.18,2026-01-06,1932.18,2026-01-06,both,Perfect Match
T2043,,,3915.27,2026-01-17,right_only,Missing in Bank
T2044,,,2494.17,2026-01-04,right_only,Missing in Bank
T2045,4175.16,2026-01-10,4175.16,2026-01-10,both,Perfect Match
T2046,1280.27,2026-01-19,,,left_only,Missing in Company
T2047,,,2481.35,2026-01-03,right_only,Missing in Bank
T2048,716.23,2026-01-22,716.23,2026-01-22,both,Perfect Match
T2049,2794.04,2026-01-09,2794.04,2026-01-09,both,Perfect Match
T2050,,,3072.31,2026-01-07,right_only,Missing in Bank
T2051,3480.35,2026-01-23,3480.35,2026-01-23,both,Perfect Match
T2052,4976.23,2026-01-21,4976.23,2026-01-21,both,Perfect Match
T2053,4508.11,2026-01-15,4508.11,2026-01-15,both,Perfect Match
T2054,1201.02,2026-01-11,1201.02,2026-01-11,both,Perfect Match
T2055,2814.22,2026-01-19,2814.22,2026-01-19,both,Perfect Match
T2056,447.87,2026-01-21,447.87,2026-01-21,both,Perfect Match
T2057,427.91,2026-01-02,430.26,2026-01-02,both,Amount Mismatch
T2058,1266.22,2026-01-22,1266.22,2026-01-22,both,Perfect Match
T2059,,,2742.25,2026-01-24,right_only,Missing in Bank
T2060,2416.09,2026-01-26,2416.09,2026-01-26,both,Perfect Match
T2061,2094.59,2026-01-04,2094.59,2026-01-04,both,Perfect Match
T2062,2212.15,2026-01-14,2212.15,2026-01-14,both,Perfect Match
T2063,4332.8,2026-01-02,4332.8,2026-01-02,both,Perfect Match
T2064,4922.41,2026-01-04,4922.41,2026-01-04,both,Perfect Match
T2065,3662.53,2026-01-26,3668.25,2026-01-26,both,Amount Mismatch
T2066,1032.02,2026-01-15,1032.02,2026-01-15,both,Perfect Match
T2067,999.09,2026-01-15,999.09,2026-01-15,both,Perfect Match
T2068,4606.74,2026-01-15,4624.0,2026-01-15,both,Amount Mismatch
T2069,,,579.75,2026-01-21,right_only,Missing in Bank
T2070,4843.92,2026-01-25,4848.08,2026-01-25,both,Amount Mismatch
T2071,2461.49,2026-01-07,2479.64,2026-01-07,both,Amount Mismatch
T2072,906.72,2026-01-01,,,left_only,Missing in Company
T2073,3941.95,2026-01-15,3941.95,2026-01-15,both,Perfect Match
T2074,,,3513.3,2026-01-24,right_only,Missing in Bank
T2075,3620.2,2026-01-05,3620.2,2026-01-05,both,Perfect Match
T2076,1166.73,2026-01-02,1166.73,2026-01-02,both,Perfect Match
T2077,2756.76,2026-01-24,2756.76,2026-01-24,both,Perfect Match
T2078,345.7,2026-01-16,345.7,2026-01-16,both,Perfect Match
T2079,4278.33,2026-01-06,4278.33,2026-01-06,both,Perfect Match
T2080,2588.36,2026-01-28,2588.36,2026-01-28,both,Perfect Match
T2081,3007.0,2026-01-22,3015.67,2026-01-22,both,Amount Mismatch
T2082,4713.82,2026-01-19,4713.82,2026-01-19,both,Perfect Match
T2083,3013.14,2026-01-20,3013.14,2026-01-20,both,Perfect Match
T2084,3321.13,2026-01-19,3321.13,2026-01-19,both,Perfect Match
T2085,4680.06,2026-01-07,4680.06,2026-01-07,both,Perfect Match
T2086,1639.5,2026-01-09,1639.5,2026-01-09,both,Perfect Match
T2087,3391.28,2026-01-10,3391.28,2026-01-10,both,Perfect Match
